Id,MyId,Date,Stadium,HomeTeam,AwayTeam,HomeLogo, AwayLogo
760486,73,2026-06-28T19:00Z,SoFi Stadium,South Africa,Canada,https://a.espncdn.com/i/teamlogos/countries/500/rsa.png, https://a.espncdn.com/i/teamlogos/countries/500/can.png
760487,76,2026-06-29T17:00Z,NRG Stadium,Brazil,Group F 2nd Place,https://a.espncdn.com/i/teamlogos/countries/500/bra.png, 
760489,74,2026-06-29T20:30Z,Gillette Stadium,Germany,Third Place Group A/B/C/D/F,https://a.espncdn.com/i/teamlogos/countries/500/ger.png, 
760488,75,2026-06-30T01:00Z,Estadio BBVA,Group F Winner,Morocco,, https://a.espncdn.com/i/teamlogos/countries/500/mar.png
760490,78,2026-06-30T17:00Z,AT&T Stadium,Ivory Coast,Group I 2nd Place,https://a.espncdn.com/i/teamlogos/countries/500/civ.png, 
760492,77,2026-06-30T21:00Z,MetLife Stadium,Group I Winner,Third Place Group C/D/F/G/H,, 
760491,79,2026-07-01T01:00Z,Estadio Banorte,Mexico,Third Place Group C/E/F/H/I,https://a.espncdn.com/i/teamlogos/countries/500/mex.png, 
760495,80,2026-07-01T16:00Z,Mercedes-Benz Stadium,Group L Winner,Third Place Group E/H/I/J/K,, 
760493,82,2026-07-01T20:00Z,Lumen Field,Group G Winner,Third Place Group A/E/H/I/J,, 
760494,81,2026-07-02T00:00Z,Levi's Stadium,United States,Third Place Group B/E/F/I/J,https://a.espncdn.com/i/teamlogos/countries/500/usa.png, 
760497,84,2026-07-02T19:00Z,SoFi Stadium,Group H Winner,Group J 2nd Place,, 
760496,83,2026-07-02T23:00Z,BMO Field,Group K 2nd Place,Group L 2nd Place,, 
760498,85,2026-07-03T03:00Z,BC Place,Switzerland,Third Place Group E/F/G/I/J,https://a.espncdn.com/i/teamlogos/countries/500/sui.png, 
760499,88,2026-07-03T18:00Z,AT&T Stadium,Group D 2nd Place,Group G 2nd Place,, 
760500,86,2026-07-03T22:00Z,Hard Rock Stadium,Argentina,Group H 2nd Place,https://a.espncdn.com/i/teamlogos/countries/500/arg.png, 
760501,87,2026-07-04T01:30Z,GEHA Field at Arrowhead Stadium,Group K Winner,Third Place Group D/E/I/J/L,, 
760502,90,2026-07-04T17:00Z,NRG Stadium,Round of 32 1 Winner,Round of 32 3 Winner,, 
760503,89,2026-07-04T21:00Z,Lincoln Financial Field,Round of 32 2 Winner,Round of 32 5 Winner,, 
760504,91,2026-07-05T20:00Z,MetLife Stadium,Round of 32 4 Winner,Round of 32 6 Winner,, 
760505,92,2026-07-06T00:00Z,Estadio Banorte,Round of 32 7 Winner,Round of 32 8 Winner,, 
760506,93,2026-07-06T19:00Z,AT&T Stadium,Round of 32 11 Winner,Round of 32 12 Winner,, 
760507,94,2026-07-07T00:00Z,Lumen Field,Round of 32 9 Winner,Round of 32 10 Winner,, 
760509,95,2026-07-07T16:00Z,Mercedes-Benz Stadium,Round of 32 14 Winner,Round of 32 16 Winner,, 
760508,96,2026-07-07T20:00Z,BC Place,Round of 32 13 Winner,Round of 32 15 Winner,, 
760510,97,2026-07-09T20:00Z,Gillette Stadium,Round of 16 1 Winner,Round of 16 2 Winner,, 
760511,98,2026-07-10T19:00Z,SoFi Stadium,Round of 16 5 Winner,Round of 16 6 Winner,, 
760512,99,2026-07-11T21:00Z,Hard Rock Stadium,Round of 16 3 Winner,Round of 16 4 Winner,, 
760513,100,2026-07-12T01:00Z,GEHA Field at Arrowhead Stadium,Round of 16 7 Winner,Round of 16 8 Winner,, 
760514,101,2026-07-14T19:00Z,AT&T Stadium,Quarterfinal 1 Winner,Quarterfinal 2 Winner,, 
760515,102,2026-07-15T19:00Z,Mercedes-Benz Stadium,Quarterfinal 3 Winner,Quarterfinal 4 Winner,, 
760516,103,2026-07-18T21:00Z,Hard Rock Stadium,Semifinal 1 Loser,Semifinal 2 Loser,, 
760517,104,2026-07-19T19:00Z,MetLife Stadium,Semifinal 1 Winner,Semifinal 2 Winner,, 
